timestamp,total precipitation (mm),atmospheric pressure at station height (mb),atmospheric pressure max. in the previous hour (mb),atmospheric pressure min. in the previous hour (mb),radiation (kj/m2),air temperature - dry bulb (°c),dew point temperature (°c),max. temperature in the previous hour (°c),min. temperature in the previous hour (°c),dew temperature max. in the previous hour (°c),dew temperature min. in the previous hour (°c),relative humidity max. in the previous hour (%),relative humidity min. in the previous hour (%),air relative humidity (%),wind direction (° (gr)),wind rajada maxima (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
2018-04-13 00:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 01:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 02:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 03:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 04:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 05:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 06:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 07:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 08:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 09:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 10:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 11:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 12:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 13:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 14:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 15:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 16:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 17:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 18:00:00,,,,,,,,,,,,,,,,,,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 19:00:00,0.0,947.6,947.8,947.5,1498.0,29.5,15.8,29.9,27.5,16.4,14.0,48.0,39.0,44.0,96.0,5.4,1.9,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 20:00:00,0.0,947.4,947.6,947.3,1424.0,28.7,,29.5,28.7,,,45.0,38.0,,84.0,4.2,2.5,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 21:00:00,0.0,947.4,947.4,947.3,596.0,27.1,15.9,28.8,27.0,16.3,14.8,52.0,43.0,50.0,98.0,3.9,1.1,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 22:00:00,0.0,947.4,947.4,947.3,25.0,25.5,15.1,27.1,25.5,16.7,15.1,54.0,49.0,53.0,114.0,2.0,1.1,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
2018-04-13 23:00:00,0.0,947.8,947.8,947.4,,24.7,14.9,25.5,24.6,15.1,14.9,55.0,53.0,54.0,130.0,2.3,1.1,CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605.0
